"PAREDINT","BOOKSHOME","TECH","READ_AVG"
16,4,-0.2812,577.101
16,7,1.8439,479.7937
12,2,0.3311,529.4698
16,4,1.4904,552.9129
16,1,2.6397,467.0309
16,3,-0.9103,456.1528
16,6,1.0285,700.7477
12,3,-1.4732,564.655
16,6,-1.0331,541.3802
16,7,1.3668,623.5456
12,1,0.2333,385.5292
16,4,1.1084,486.2624
16,2,1.189,321.8983
16,4,-0.3588,485.0566
14.5,4,1.0744,277.6118
12,2,-0.2311,472.4394
6,2,0.3745,420.8886
16,3,-0.7123,467.489
9,2,-0.5286,345.7173
12,3,2.4004,496.1336
16,2,-0.5622,338.5749
16,1,-1.2084,533.1706
16,1,0.5735,253.4706
14.5,2,-1.2296,606.7461
14.5,2,0.5349,519.4098
14.5,4,-0.102,527.9373
14.5,2,-2.7188,333.024
16,3,0.7159,498.5637
12,4,-0.3501,561.9756
6,2,-0.6055,572.1074
16,4,-0.3873,658.294
16,6,0.8542,455.9363
12,2,1.7693,316.4837
16,2,0.8086,566.5207
12,7,0.232,652.0087
16,4,0.2607,614.1997
12,3,0.1106,533.938
16,1,-1.0219,320.0988
12,6,-0.3012,474.4742
12,3,1.3033,360.8678
16,2,-1.0183,339.564
12,1,-1.2,279.7798
14.5,2,0.7159,682.0056
16,6,0.034,598.6039
16,7,0.5496,439.0424
16,3,0.7333,575.7704
12,4,0.1891,604.7811
16,2,0.3344,508.1162
9,2,-0.6241,306.075
16,4,-0.1177,599.9373
16,4,0.0625,458.5112
12,2,0.6816,457.5549
16,4,0.3849,549.1866
12,2,0.232,622.1318
16,4,0.4729,456.0745
12,3,-0.6259,524.2838
16,4,0.4946,549.494
16,4,-0.7283,590.205
12,3,0.5166,495.4001
16,6,2.1901,677.609
12,2,-0.3792,566.0546
16,2,1.6873,423.5268
16,7,0.2185,730.8705
16,6,0.1891,709.5476
12,6,-0.3295,672.4659
12,6,0.7452,486.5468
12,2,0.0229,412.8843
12,2,-0.0717,507.1159
16,4,0.795,482.3615
16,4,-0.3295,449.979
16,4,-0.102,594.8981
16,2,0.5804,362.4126
12,2,0.8047,261.0004
16,2,-0.0073,511.7091
16,3,2.45,626.6144
12,4,-0.4715,430.4101
16,4,0.2546,422.8611
12,1,-1.1108,663.7011
16,4,0.5349,637.9857
16,4,0.1276,658.2334
12,6,0.5563,496.9823
12,4,-0.2758,476.1406
16,4,0.6324,663.581
16,4,0.9758,552.5401
16,2,0.1891,545.5698
16,3,-1.0578,464.7584
12,1,5.1744,227.2682
16,6,-1.0503,507.0538
12,7,1.2818,523.5941
16,4,0.7427,583.0405
16,4,1.9215,596.7242
12,2,0.5812,479.8778
12,4,2.2514,456.5916
9,2,-0.1183,339.307
12,1,-0.3003,351.1263
12,2,-0.213,280.1986
16,6,-0.0574,485.0267
12,2,0.1766,417.2338
16,4,0.7698,440.9359
16,2,0.9217,501.657
16,6,0.2181,484.1037
16,1,-0.7829,302.5857
12,2,0.212,466.2305
16,6,-0.1795,761.8116
16,3,0.8511,504.7341
16,2,0.4484,439.1467
16,1,-0.3752,447.5837
12,4,-0.9624,519.7314
12,3,-0.6,539.4291
16,6,1.2125,743.6168
16,3,-0.6259,586.8965
16,7,2.5618,648.8413
12,4,-0.1182,496.7169
16,1,-0.2027,343.729
16,4,0.3344,631.5107
14.5,2,0.4203,434.4229
16,1,0.0463,283.6592
16,2,-1.405,405.4311
16,7,1.438,527.8772
12,3,-0.3295,526.4985
