"PAREDINT","BOOKSHOME","TECH","READ_AVG"
9,4,-0.0676,490.1244
9,2,0.7641,402.3203
12,2,1.7593,456.8226
16,7,1.5532,595.0605
12,2,0.5166,436.2287
12,6,-0.3295,466.5894
16,4,-0.5558,506.3839
16,6,0.9159,644.5137
16,2,-0.3003,470.853
16,4,0.1724,577.0212
12,2,0.1664,355.0829
12,4,-0.0073,602.8459
12,2,-0.342,357.7489
16,4,0.4664,634.135
9,3,0.8777,391.4506
16,4,0.0229,385.2112
16,4,0.2893,558.2266
16,2,0.6855,371.8053
6,1,0.5092,424.2388
16,6,1.1346,670.9904
16,1,1.3033,588.5421
16,7,0.1588,541.9232
14.5,3,0.676,495.7541
9,3,-1.1558,389.9454
16,2,0.1403,662.0744
16,2,-0.3679,379.508
16,6,0.7641,513.9736
16,4,-0.8787,398.8243
16,3,-0.5168,395.369
16,2,-1.3015,527.5936
16,4,0.5869,565.6561
16,2,1.4754,482.4095
16,4,-0.6,573.3446
12,4,0.7641,592.2032
12,6,0.2181,548.7974
16,1,-2.025,514.2265
16,3,0.5224,385.2587
9,4,-0.0574,545.7418
16,3,-0.4715,469.7606
12,2,-0.7715,623.3519
3,1,-0.1289,499.5755
9,3,-0.9259,398.9082
16,3,0.0664,488.6547
16,6,0.2607,445.0135
16,2,0.9247,515.0832
16,3,0.9699,466.0888
16,4,0.2607,642.2232
16,4,0.5224,491.7551
16,7,2.1298,453.8617
16,2,0.6731,447.6519
12,2,1.5363,382.6579
16,4,-0.4144,410.4481
16,4,0.2181,572.4194
12,2,0.183,553.0923
16,4,1.9113,392.6559
12,4,-1.5361,460.1473
16,3,0.2028,600.6434
9,4,-1.1681,362.8892
9,2,-0.651,467.997
16,4,0.3909,641.8771
16,4,1.5532,622.9505
12,4,0.0291,534.9391
16,2,1.516,502.3129
16,4,-1.4507,354.4143
6,1,0.214,472.0039
16,6,1.199,576.3434
14.5,4,-0.8091,363.1017
12,2,0.2473,594.4315
9,2,-0.2812,426.9756
16,1,-3.4197,448.5223
16,4,-0.1303,519.0528
16,6,0.3535,354.1651
16,4,0.8742,460.222
6,4,-0.102,571.866
12,4,-0.1289,470.2668
16,4,1.6041,339.3172
12,3,-0.2034,459.4292
16,4,-0.4067,674.9214
12,4,-0.6,557.3746
16,3,-0.7399,298.9405
12,4,0.4668,599.8479
16,4,0.5598,361.6496
12,3,0.8356,531.4788
16,1,1.5788,420.6007
12,1,-0.3003,547.0069
12,4,0.5838,534.2377
12,2,-0.3295,549.4401
9,2,-0.0513,443.9853
12,1,-1.3427,316.9869
16,2,-1.2143,373.5708
16,6,0.5349,478.5751
16,6,0.2259,551.9868
3,2,-0.5434,403.099
12,2,-0.213,386.4983
12,4,0.4484,555.1544
16,2,0.2289,436.3691
14.5,4,-0.3588,622.6992
14.5,6,0.898,478.4258
14.5,4,0.232,621.6146
16,4,1.3087,605.7861
14.5,4,0.3344,571.684
16,6,0.8245,536.6698
16,4,1.0285,555.6875
16,3,0.5166,451.2322
16,7,0.183,449.2976
16,4,2.1053,439.1642
16,1,0.8787,461.6242
16,2,-0.0877,529.4996
16,6,-0.7931,511.0947
16,3,0.2028,467.6956
14.5,2,0.417,449.0133
16,4,0.3371,566.217
16,4,0.2028,526.9993
16,4,1.8122,593.6708
12,3,1.5107,441.5435
6,1,-1.2553,311.0857
9,2,0.2412,509.2343
16,4,0.9579,531.8768
16,4,-0.1496,419.3904
12,4,0.6565,465.6949
16,4,1.5936,573.7855
16,6,0.3085,438.3839
9,3,-0.3003,298.3111
9,2,0.3924,424.9172
12,3,-0.4199,431.5171
16,2,2.0315,485.7841
16,3,-1.2696,483.2643
12,2,-0.3003,406.0978
16,2,0.801,412.5531
16,4,1.516,630.8079
16,4,0.2801,737.0834
12,2,-0.1725,335.7568
16,3,0.2028,684.898
12,2,-1.7401,606.8737
16,2,2.0474,362.0663
16,4,-1.266,520.1338
16,1,-0.8957,382.4821
14.5,4,-1.1474,699.8383
14.5,2,-0.0136,468.0097
12,4,-0.3003,593.6887
16,4,1.3291,505.9209
16,1,-1.1824,537.7503
12,3,-0.5558,392.9442
9,2,-0.1083,510.1643
16,3,0.9868,516.9978
16,3,-0.0574,487.5984
16,6,-0.3201,623.7049
16,6,0.5081,581.9016
16,3,1.9919,603.3001
12,4,0.6709,592.0662
12,3,-0.4482,594.9124
12,2,-0.3003,513.5999
9,4,-0.3135,489.4897
12,2,-0.6259,542.069
14.5,6,0.9688,506.3111
9,3,-0.7631,399.9337
12,3,-0.3588,470.2573
16,4,-0.6785,433.1861
14.5,4,-0.2535,680.4774
14.5,4,0.2992,698.561
12,3,0.5166,399.956
12,1,-1.1098,567.8688
16,4,0.232,601.5871
16,3,0.5224,603.3069
16,4,-0.6709,712.9974
16,2,1.3033,364.3722
16,3,-0.5139,451.3412
12,4,-0.6,670.5782
14.5,2,-1.2369,471.8899
12,3,1.6904,379.3992
16,2,0.2176,315.5192
16,1,-1.0739,434.8047
16,7,0.5349,670.586
12,6,0.66,550.3883
16,1,-4.2609,296.3262
12,4,1.3721,340.0657
16,3,-1.2979,437.8875
12,4,-0.6094,492.3757
12,2,0.7215,467.8617
9,4,1.3899,710.4742
16,2,2.5036,442.31
12,2,0.9444,493.3261
9,4,2.6167,563.5037
16,4,0.8771,622.3552
16,4,1.1292,564.695
16,2,1.0229,455.3095
16,3,-0.2034,325.8777
12,3,0.4996,442.1418
12,4,-0.3295,454.214
16,3,0.7698,630.4395
14.5,6,0.4523,499.5095
9,2,-0.6259,475.0738
16,4,0.2473,508.8801
16,1,-2.8741,225.0915
12,3,-1.7233,532.2087
14.5,4,1.1605,604.0582
12,4,-0.8263,377.2963
3,3,0.0229,606.5228
16,2,-0.1383,441.5415
16,4,2.3526,614.4801
12,2,0.4484,547.1332
16,2,-0.843,607.9766
16,6,0.8511,589.0853
16,7,1.4786,572.892
16,4,1.1809,527.5827
16,2,-0.4073,540.5234
16,7,1.6419,536.6885
16,4,-1.1739,400.9506
14.5,4,-0.0208,638.386
9,3,1.0351,464.5823
16,2,-0.5869,363.5187
16,6,0.1891,582.1861
16,3,-0.6205,355.3855
9,2,-1.2462,358.9547
12,3,-0.7515,647.8376
12,2,0.9758,418.9702
12,4,-0.6,377.3766
16,3,-0.3003,504.0445
12,3,-0.1255,487.8847
16,6,0.8511,616.9506
12,2,-0.1083,319.6387
16,6,0.6973,684.5244
12,2,-0.0851,483.4321
12,2,0.2412,368.9049
16,2,1.2602,350.5053
16,2,0.3311,494.5442
12,3,-1.4964,455.1441
12,4,0.7641,565.1626
12,6,0.8724,635.2184
16,1,0.0069,379.4896
16,3,0.4484,363.9932
12,3,-0.3003,514.9852
12,4,-0.4779,568.3699
16,4,1.1551,400.6111
12,4,1.7096,586.5848
12,7,0.4484,611.4294
16,6,0.0198,687.665
12,2,-0.651,411.5676
16,4,1.5363,645.3518
12,6,-0.0073,646.9444
16,7,0.7159,605.7694
16,6,0.7956,664.8412
16,7,-1.686,623.9035
16,3,-0.0877,601.7468
16,3,0.4259,474.2407
16,4,3.0882,637.8558
12,4,0.2804,383.2474
16,4,1.0462,574.4537
16,3,-0.4301,546.1709
16,3,1.0285,615.7747
16,2,1.5612,456.0917
16,3,0.2028,539.736
14.5,3,0.8542,524.0516
16,3,-0.0542,415.7457
12,3,0.232,566.9548
12,2,-1.8303,537.0465
16,3,0.8086,444.6531
12,3,-0.0861,449.821
16,4,1.6393,467.8226
16,7,0.5291,594.2597
16,1,-0.3301,385.6796
12,3,-0.0877,363.5119
12,3,-0.0574,523.8275
16,4,-0.9438,472.109
12,4,0.1891,569.7004
16,4,-0.3003,495.6544
16,6,1.4637,541.2178
12,2,0.5166,520.3693
16,4,-0.0882,520.6256
6,2,-0.3707,446.9626
12,2,-1.8303,544.0418
16,6,0.3507,484.9619
3,2,-1.1496,434.0963
12,2,-1.2488,545.2962
12,4,-0.7283,462.9651
14.5,4,1.5936,400.8253
16,6,1.7227,546.6531
9,4,-0.8488,475.551
12,4,0.6268,467.6549
16,1,0.1891,643.1472
16,6,1.6274,453.1341
16,6,0.2413,742.8608
12,4,-0.3527,493.3416
12,2,-0.5512,406.1224
16,4,0.7534,392.6396
16,7,-0.843,587.1865
12,1,-1.2659,331.3106
16,4,0.66,540.5525
16,4,0.7187,591.8943
12,1,-1.5287,441.3071
9,3,-0.263,366.6195
12,1,-0.9615,471.6096
16,6,0.232,649.953
12,4,-0.3003,609.5534
12,2,-0.3497,587.2405
9,3,0.7912,410.7378
12,4,-0.0548,501.3901
16,4,-0.3588,557.1464
12,2,-0.6,301.1281
14.5,4,-0.2067,389.9231
16,2,0.5224,493.3974
12,1,-1.154,476.4584
16,4,0.5349,708.8158
16,4,0.7374,592.5614
14.5,2,-0.2835,419.98
16,2,-0.6632,294.1039
16,4,0.6543,562.3505
16,2,0.1891,529.205
16,1,0.0326,379.3061
16,3,-0.4073,383.6135
14.5,4,1.1605,709.7395
16,4,-0.4245,556.6864
12,3,0.3344,442.4143
16,4,0.3311,525.0321
6,3,-0.7849,382.515
16,4,0.4042,582.7319
16,6,-0.3302,582.3005
16,4,0.5166,330.2278
6,2,0.4996,341.3672
12,4,-0.4483,470.9005
16,4,0.5443,467.757
16,3,-0.9012,611.699
12,2,0.2028,541.3072
16,2,1.5532,399.6935
9,4,0.1891,591.5501
12,2,0.5567,390.2949
12,3,-0.1496,405.5965
16,4,1.177,658.0121
16,4,0.8004,649.3313
16,2,0.6731,388.7584
16,4,1.7404,466.2844
12,2,-1.1311,298.6494
16,3,-0.3588,492.5743
14.5,4,0.4909,434.7444
12,2,-0.7865,542.0316
16,7,1.9651,287.2051
14.5,2,0.1891,618.766
12,2,-1.1988,422.7078
9,2,-1.9765,347.4398
9,1,-0.3247,435.3313
16,1,-0.6905,337.7152
16,2,-0.3295,373.7043
12,4,0.6731,373.18
9,4,-0.8245,579.2538
14.5,1,-0.0674,495.3956
12,4,-0.6912,357.3234
16,6,-0.132,647.1645
9,1,0.2861,274.7166
12,2,0.5384,584.0314
16,1,0.4637,390.224
16,2,-0.2372,391.5581
16,3,-0.6205,485.6553
12,3,-1.0068,402.6148
14.5,3,0.687,561.3271
16,4,0.7641,646.3693
12,4,0.4946,601.1069
16,2,-2.1754,229.7405
16,3,0.7159,459.0424
16,3,0.232,579.611
16,4,0.8873,585.1963
12,3,0.4484,495.4998
12,4,-0.3003,605.3249
9,1,-1.0243,402.965
16,3,1.7918,608.263
16,4,1.9113,534.6222
12,4,1.465,537.3481
16,2,0.5567,382.198
16,6,0.6887,541.5103
12,3,-0.6785,575.8396
14.5,3,0.1428,472.5259
16,4,-0.102,501.4975
16,2,-1.063,399.274
12,2,-0.0126,440.0846
12,2,-0.6495,260.4858
12,3,-0.3003,667.1412
16,3,-1.7465,385.7237
16,1,-0.6709,575.5474
12,3,0.0225,505.3599
12,6,0.3344,447.7903
16,4,-0.0611,523.8678
16,6,-0.1177,661.551
16,3,1.648,499.4674
12,3,-0.6046,560.8807
16,7,0.232,575.1039
16,4,-0.6205,489.2114
14.5,3,0.2923,463.8968
12,2,0.2412,725.7732
12,2,-1.1288,436.0391
16,4,-0.843,500.8695
9,2,-0.2812,395.7774
16,2,2.5752,333.8448
12,1,-0.6298,262.2481
16,4,0.5598,722.6014
16,4,0.0636,581.8467
12,2,0.5291,370.409
16,3,0.2724,619.3527
16,3,-0.6094,633.9115
12,2,0.8486,382.9787
16,2,-0.8089,445.0585
16,3,0.3924,563.8915
16,3,-0.0877,587.7539
16,4,1.2039,618.2709
9,4,-0.6653,465.3054
16,2,-0.6753,577.3044
16,1,0.1152,329.6725
12,3,-0.6458,477.0936
12,4,0.1197,474.1365
12,3,-0.6259,511.5707
12,2,1.3403,305.5619
16,3,-0.1026,348.8522
16,7,2.0849,645.3491
14.5,3,-0.3588,426.9054
16,2,-0.6458,478.9727
12,4,0.3344,460.5938
16,6,3.1495,700.7257
14.5,3,0.1428,458.7359
12,2,-0.6259,439.5013
9,2,-1.568,327.219
16,4,0.417,562.711
12,2,-1.2267,472.4534
9,3,-1.0843,476.445
16,4,0.6055,536.95
12,6,0.5869,554.135
16,1,-0.619,347.0842
12,3,-0.3295,496.5605
16,4,-0.8091,584.8481
12,1,-1.6631,325.5828
16,4,0.822,446.5636
16,2,-1.1555,555.3111
16,6,0.5598,658.2311
16,4,3.0367,467.1383
16,2,2.2859,376.8498
9,1,-1.3707,281.3174
16,3,-0.0343,446.075
16,3,1.5065,426.0329
16,3,0.8356,688.2574
16,1,-0.0073,344.4464
12,4,-1.0634,424.1572
12,4,-2.0411,396.36
16,6,1.1605,701.9418
12,4,-0.3588,583.8162
14.5,6,1.0517,507.5462
16,3,-0.3295,632.8463
3,3,-0.3839,543.063
16,4,0.5349,500.0916
12,3,-0.0073,531.1829
16,4,1.1605,465.2948
16,3,0.4389,507.2643
14.5,1,0.0463,443.631
6,3,-0.0073,583.0834
16,6,0.8511,638.7859
12,2,-0.4896,520.2591
14.5,3,1.0491,534.9476
12,4,3.1051,428.5009
16,3,-1.4623,474.5306
12,2,-0.3295,529.8272
16,1,-0.6259,475.375
12,4,-0.1303,476.3004
16,2,1.4997,512.6324
9,3,1.0229,479.4736
16,6,0.8725,607.5586
16,4,0.7663,386.2667
16,3,-0.5829,489.4857
16,3,2.5036,363.0682
12,2,-0.9621,437.8681
16,6,-0.3295,710.4888
16,4,-1e-04,550.7156
16,2,0.6453,583.9977
16,3,0.9758,558.5361
16,4,0.8006,576.6367
9,3,1.2625,455.0517
16,4,0.5052,670.6415
12,4,0.2028,472.4064
9,2,0.5166,479.1076
16,6,0.3924,507.1476
6,2,-0.4259,519.7373
16,4,1.3953,654.634
16,2,-0.3588,470.1438
14.5,2,1.8911,558.3088
9,2,-0.3155,486.3832
12,2,-0.6,459.7441
12,4,-0.004,509.7982
12,4,1.0229,555.9446
12,4,-1.761,249.9253
14.5,6,0.6324,667.4479
14.5,3,-0.4762,564.1603
6,1,-1.5976,442.738
12,4,-0.0278,503.4727
16,4,0.781,532.8211
16,7,0.232,633.3517
12,2,0.6116,422.4866
16,4,0.4042,433.5592
6,3,-0.2571,491.9808
6,3,-1.0009,464.0971
12,3,2.7595,490.4833
12,2,0.0655,407.1961
16,6,1.4126,607.3201
16,2,0.8086,401.1031
6,3,-0.8205,561.4277
12,2,-0.6,449.7002
16,2,-0.1632,477.5561
12,4,-0.8965,570.7804
16,4,0.7159,416.8231
9,1,-1.7695,413.7731
16,2,2.2304,349.7943
12,2,-0.9313,460.2872
12,6,1.7078,559.2192
16,2,-0.1622,341.6892
16,4,1.1551,528.0676
16,4,1.7387,641.0281
16,2,-0.1622,547.3603
16,3,2.214,289.0138
16,4,-0.1177,690.1755
16,4,0.2578,625.3782
16,4,-0.3295,716.378
12,3,1.3033,484.5898
12,7,-0.0974,402.5075
16,2,1.4718,243.8433
16,4,-0.3295,469.2012
16,3,-0.651,539.2605
3,2,-0.3588,537.6248
16,4,-0.0371,585.3609
16,4,1.0229,521.0378
16,3,2.222,590.2422
9,2,-1.2894,432.2029
16,4,0.6728,433.7626
16,2,-1.7588,316.7929
12,4,0.1891,514.9238
12,1,-0.102,454.0006
16,4,-0.3003,372.5052
16,2,1.3841,374.82
12,6,0.3924,607.1516
16,3,0.4148,470.3209
14.5,4,1.0979,576.2286
16,2,0.5349,655.3763
16,2,0.66,454.8928
16,3,-0.9177,468.9729
14.5,4,0.4003,398.1483
16,3,-0.3732,491.6713
12,2,-0.5168,642.5504
12,2,0.8511,506.4336
16,4,0.7159,568.4804
12,3,0.1367,505.0986
16,1,-0.8659,391.041
12,4,-0.3356,531.3431
16,4,0.7641,453.2411
16,3,0.1396,308.0029
9,4,0.5598,607.2882
16,4,1.3345,433.3602
16,3,-0.5558,563.8479
16,3,0.1106,638.5076
14.5,6,-1.1381,567.8693
12,3,1.4747,297.6403
16,3,-1.5759,361.7352
16,4,-0.1928,423.1266
12,4,1.465,646.5771
16,4,-0.2159,496.2227
12,2,-0.3732,370.4521
14.5,4,-0.3003,655.2549
16,4,0.4086,489.8742
16,2,-0.6,658.8329
12,4,-1.9403,431.4968
3,2,-0.3295,435.4053
16,3,0.0291,394.6986
14.5,3,0.3139,584.7086
6,4,-0.2067,278.9101
9,4,-0.5191,496.4006
16,1,-1.2931,265.736
16,2,-1.7101,322.5732
12,4,1.1605,395.1869
12,3,0.7932,428.3469
14.5,3,-0.9247,298.5144
16,4,0.7159,595.6077
16,4,-0.8957,507.2789
9,2,-1.9857,374.0009
16,3,1.0726,482.1991
6,2,-2.1714,514.7916
12,2,-0.651,625.0056
12,4,-0.132,613.1743
16,4,0.8511,496.6169
16,3,-1.0787,462.4777
12,4,0.2079,519.4107
12,6,-0.2753,516.6815
16,4,-1.2418,482.9678
14.5,3,-1.3239,477.4994
12,2,-2.2215,444.325
12,1,2.1531,391.5875
12,3,0.8486,391.7127
9,3,-1.0739,391.9348
16,2,-0.3003,461.3612
12,2,0.2421,417.4772
14.5,6,0.683,462.3615
12,4,1.0281,389.2683
16,4,2.4543,570.0614
16,4,1.682,442.9116
16,4,5.1744,403.028
12,2,-1.6292,651.3752
12,2,-1.4457,361.7082
16,4,0.743,642.8354
16,3,-0.1177,541.6849
12,2,-0.0877,538.1153
12,3,-1.1325,398.624
12,4,-0.4144,378.9013
12,4,0.5166,572.1558
16,6,0.9606,507.8632
12,3,1.3441,569.7107
16,4,-0.4552,469.7368
16,4,0.3371,499.9205
16,6,1.0285,596.4811
12,2,-0.5139,331.2981
16,3,1.1292,590.6732
16,1,-1.0116,338.0594
14.5,3,0.4042,504.4186
16,1,-0.7795,359.9641
6,2,-0.8198,473.9073
12,4,1.5413,510.1808
16,7,1.0614,526.9262
16,4,1.5616,479.4967
12,2,-0.3298,344.9008
14.5,4,1.137,447.4075
16,4,-0.4896,556.2048
16,6,0.406,675.811
16,4,1.002,547.7741
16,7,3.3852,580.2092
12,6,2.1285,521.4725
3,2,-0.7865,538.5801
16,4,0.1891,566.7954
12,2,-0.704,404.0762
16,3,0.0797,607.0291
12,1,-0.8929,468.1378
12,3,-0.3003,574.8202
16,6,0.5501,709.3217
16,2,-0.3059,538.3353
16,3,-0.3003,461.1078
12,2,1.2071,455.9107
3,2,0.0666,424.1849
12,1,-1.6946,317.9576
16,3,-0.3926,274.7653
16,3,-0.0574,495.1533
16,6,0.0811,691.5405
12,4,0.2546,531.2462
14.5,4,0.3698,566.6355
16,4,0.8511,713.3776
14.5,4,-0.8787,410.0743
16,6,-0.132,704.4145
12,1,-0.2768,446.4195
16,3,1.6015,517.104
16,6,-0.3609,595.4645
16,2,0.7699,395.7445
12,4,-0.4877,507.2222
16,2,-0.4482,475.6235
16,2,0.2473,454.9841
12,2,0.1891,454.8606
12,4,0.8856,291.5
16,2,-0.1583,446.9799
9,2,-1.6165,297.9395
16,3,0.6887,512.6193
12,2,-1.9528,521.3969
16,4,1.1605,657.6239
16,2,1.2503,584.7817
12,2,-1.3615,351.7584
16,4,-0.102,523.322
12,3,0.3311,492.4317
12,3,-0.3588,631.3193
9,3,0.2412,445.1617
12,4,0.3139,258.8151
16,3,-0.2812,664.571
16,6,0.232,587.3589
16,6,0.5224,646.6515
6,2,0.3335,352.6654
16,4,-0.8091,698.9185
16,4,3.7408,540.0908
12,4,0.2412,586.6245
16,3,0.6055,522.1317
16,2,0.5801,375.0265
14.5,3,0.0035,374.1201
16,4,-0.2508,584.0614
16,2,-0.0826,365.748
16,1,-5.0283,363.3171
16,7,0.957,674.7243
3,2,-0.6495,365.59
16,6,1.4174,543.196
14.5,4,-0.5593,518.8057
16,2,-0.6259,263.1557
16,4,-0.2067,471.5974
16,3,0.3624,615.7069
16,2,-0.1559,591.3847
16,4,0.4484,598.9911
16,4,-0.8787,530.9598
12,1,-2.0693,329.0066
16,4,0.743,398.9893
16,4,1.9726,628.5064
16,3,0.2089,534.4341
9,3,-0.0877,489.8277
16,3,0.232,344.4384
16,4,-0.8022,478.6838
16,4,0.7159,580.3627
16,2,-0.6205,481.8404
16,6,0.8068,750.0561
16,7,0.8511,693.8611
16,4,-0.843,627.5107
9,3,0.4484,504.2134
14.5,4,2.1231,545.8874
16,3,0.6829,503.8182
16,4,-0.4745,350.5252
16,4,0.7263,630.2978
12,4,0.8785,511.1077
16,2,0.214,422.821
16,6,0.7159,470.11
12,1,-1.5489,418.6562
16,2,1.4126,494.1671
16,3,-1.0792,430.5738
16,4,-0.3003,491.7075
12,2,1.3465,320.1414
16,4,-0.4745,535.1578
12,4,-0.1795,634.7406
16,6,2.8019,333.7866
16,3,0.8961,471.019
12,3,0.0459,601.4258
16,4,-0.3527,560.0083
16,3,-0.4896,416.0654
16,3,-0.3926,334.9312
16,6,1.682,488.4313
12,3,0.4664,470.1778
14.5,4,1.4072,558.5304
16,2,0.2921,401.5233
12,2,-0.129,511.9497
16,2,0.5895,462.3354
16,1,0.1477,479.4017
12,1,-0.6977,409.5877
16,4,-0.0073,639.3516
12,3,-0.843,436.9584
12,4,0.232,583.7269
12,1,-0.651,564.2654
16,3,-1.3885,551.7247
16,4,0.3535,562.926
16,6,0.7159,662.8105
16,4,2.0814,510.8044
12,3,2.0591,419.9102
16,3,1.6212,331.9354
12,3,-0.4688,650.8768
14.5,2,0.0526,482.552
16,2,-0.3295,587.4124
3,4,-0.3003,490.2487
16,6,1.4876,572.825
6,2,0.5166,422.38
16,3,0.8398,413.743
16,3,-1.1413,492.4899
16,2,1.2013,343.9838
12,3,1.8125,370.42
12,3,-0.2067,433.058
16,7,0.8068,611.8502
16,4,1.0285,307.0519
16,2,1.1165,423.9127
12,4,0.6543,586.8883
12,1,0.0463,434.4115
9,2,-0.3588,328.6645
12,2,0.0608,367.8773
16,4,0.9789,479.2117
12,3,-0.0581,446.8909
16,6,1.1084,414.1099
16,6,1.438,630.8406
12,2,0.5869,566.813
12,4,-0.3295,639.9164
16,3,1.2517,559.4519
3,3,-1.0153,558.0186
16,3,0.6608,694.4119
16,2,-0.8521,450.7928
16,4,-1.4876,602.0965
14.5,2,-0.2097,366.0331
14.5,2,-0.2768,569.6858
12,6,-0.5168,450.7496
16,1,0.5612,318.7712
16,4,1.2602,597.5048
16,2,-1.2695,268.02
6,3,-0.0877,523.0701
12,4,-0.9881,376.866
16,4,0.0935,638.3581
12,3,-1.5162,439.5438
16,3,0.5869,523.7062
16,4,-0.7014,447.076
12,2,-1.3055,231.2978
12,2,-0.6259,483.192
12,4,0.4803,439.6533
16,3,0.5349,586.3188
16,3,0.6543,501.6718
12,2,-0.6785,426.4822
12,1,1.133,308.2937
16,4,0.4011,508.1168
16,1,0.3311,339.9978
12,3,0.174,577.2634
16,6,1.5693,713.0878
9,2,-1.4034,375.1711
12,2,-0.6,261.0323
16,6,0.5895,698.9277
16,3,-0.7021,346.9071
12,4,0.9473,522.7873
16,2,-0.696,588.8596
12,3,-1.7023,465.2241
16,2,0.3311,482.9699
16,6,2.0873,503.4341
9,3,-0.6618,621.3927
16,2,-0.9655,497.6185
16,6,0.1403,512.6453
12,4,1.0668,651.4074
16,2,0.5895,463.9312
12,4,-1.0503,719.8146
12,1,0.7159,562.5379
16,1,-0.4013,371.2411
12,3,-0.3588,484.0505
12,3,0.1891,602.0033
12,4,1.682,453.3981
16,4,0.9841,630.411
12,4,-0.3404,463.1136
16,4,-0.3588,465.3419
6,3,-0.2768,411.5574
9,2,-1.2231,568.8443
12,2,-0.1622,505.9554
16,4,-0.3295,636.9845
12,3,-0.102,541.4917
12,4,-0.363,568.6938
16,2,-0.0517,543.747
12,2,0.5349,361.9518
16,4,0.8486,483.7327
16,2,0.7426,497.0129
12,1,-0.8201,362.7504
12,3,-1.9263,469.5242
12,3,0.2546,579.1784
16,2,1.1719,447.8094
9,2,-0.9313,302.194
12,4,2.1913,460.0215
14.5,4,-0.0674,498.0924
3,2,-0.8787,467.5055
16,4,0.2607,576.7303
16,1,-1.3382,281.0311
16,4,-0.2569,420.4187
16,4,2.0755,427.7553
16,4,0.6088,503.8039
16,4,1.2831,537.9608
9,1,-1.65,428.755
12,4,0.7698,616.4094
16,4,1.1343,305.2727
12,4,0.5212,667.0447
16,4,-0.3262,465.1216
12,2,-0.6653,415.8228
9,2,-0.3497,475.4145
6,2,-0.0574,523.9892
14.5,1,-1.8205,344.8121
16,4,-0.3295,684.3436
16,6,-0.0574,675.1087
12,3,0.1341,493.7984
12,4,-0.4689,633.6734
16,3,-0.3295,631.0554
16,4,-0.3926,406.2427
16,3,1.002,511.7677
16,3,-0.718,448.0094
16,3,0.5838,536.4809
16,4,-0.998,382.8614
9,4,-0.8798,450.3901
16,4,0.9758,457.3947
16,1,-0.3441,570.6351
12,1,-0.5879,442.3133
12,2,0.4668,323.4036
12,3,-1.1985,515.0886
16,3,0.2473,577.0118
16,7,1.4126,551.1265
12,6,-0.9046,675.6593
16,2,-0.1496,437.982
3,2,0.4426,359.5456
9,2,-0.2812,335.8593
9,4,-1.2772,400.5994
14.5,4,0.3909,609.9297
16,3,0.3457,491.4191
9,3,0.4343,475.6016
14.5,2,-0.1083,465.251
12,4,-0.0073,537.2618
12,4,-0.0648,429.267
16,1,-0.2812,409.7779
16,2,-0.4183,404.6919
16,4,0.1695,364.6307
16,4,-0.1067,629.9994
16,3,-0.132,546.8258
9,1,0.0291,402.5584
16,1,-0.6955,450.4218
16,4,-0.132,710.9476
6,2,-1.2949,432.3738
12,1,-0.0877,422.773
16,2,0.2255,439.1993
12,2,0.8205,431.7931
12,3,0.4426,384.9202
16,4,-0.0103,721.1797
16,6,-0.1542,320.6411
12,2,0.0054,606.0511
14.5,4,-0.1333,538.2222
16,2,-0.5567,465.6736
16,3,1.1577,408.4152
16,3,0.3311,577.0571
16,2,0.2317,411.6131
16,4,0.3762,462.2007
14.5,1,-0.8091,476.3651
16,7,0.5598,697.3843
16,2,0.5621,338.3152
16,3,1.9267,459.9926
16,6,0.4207,758.6025
16,4,-0.401,533.1966
16,3,-0.0877,504.8905
9,2,0.1248,428.2756
16,3,0.3076,637.6536
12,3,-1.1658,594.7306
12,2,0.8333,471.2514
12,1,-1.5184,325.3647
16,2,-1.4105,351.5172
16,2,-0.4013,353.6097
9,2,-1.5416,334.8255
16,4,0.495,574.5557
12,2,0.8609,489.0665
12,4,2.4856,496.0716
16,4,-0.6,503.2259
12,4,0.5764,361.5025
16,4,0.3507,534.0823
12,2,-1.1847,419.9495
12,1,-0.3003,548.0214
12,2,-0.3828,338.7995
16,4,0.4229,522.4237
16,3,1.4326,519.7116
12,3,-0.6259,409.3139
12,2,0.5349,538.6632
16,6,0.8276,511.6096
16,4,0.8998,616.5376
12,4,1.2777,666.0302
16,2,-0.2571,388.0735
16,2,-0.651,470.2769
12,3,-0.822,407.4881
16,3,-1.3426,280.4927
16,2,0.3344,476.9961
6,3,-1.2696,443.7964
12,3,0.1891,615.3956
12,1,-0.3588,538.9466
12,4,-1.8255,642.7593
16,2,0.6987,503.7992
12,4,0.5869,474.2473
12,4,0.6731,529.4722
9,1,-1.2185,306.7352
16,1,-0.9348,369.7835
14.5,3,0.1371,395.06
12,4,0.7709,566.4659
16,6,0.2867,747.4564
12,3,0.0495,606.1435
9,3,-0.6055,398.7349
16,4,-0.1496,584.0339
16,4,-0.0574,545.4929
16,3,-0.1559,502.1487
14.5,3,-0.102,398.8296
12,3,1.7078,371.8324
12,6,0.0291,438.1889
16,1,-0.699,366.2841
12,1,-0.4482,508.2468
16,4,-0.8647,665.5806
16,2,1.5532,372.452
16,4,0.232,577.4051
16,2,0.183,477.2917
16,3,0.7263,519.6615
16,3,-1.2434,239.1221
16,6,1.9919,332.3121
16,3,-0.3003,558.9268
16,4,-0.102,619.2534
16,3,0.8006,334.0658
12,2,-1.3615,549.5842
12,4,-0.3003,590.4293
14.5,2,-0.6086,411.692
