symbol,company_name,company_id,year,quarter,date
V,Visa Inc.,38043467.0,2011,2,2011-05-05 17:00:00
V,Visa Inc.,38043467.0,2011,1,2011-02-02 17:00:00
V,Visa Inc.,38043467.0,2012,4,2012-10-31 17:00:00
V,Visa Inc.,38043467.0,2012,3,2012-07-25 17:00:00
V,Visa Inc.,38043467.0,2012,2,2012-05-02 17:00:00
V,Visa Inc.,38043467.0,2012,1,2012-02-08 17:00:00
V,Visa Inc.,38043467.0,2013,4,2013-10-30 17:00:00
V,Visa Inc.,38043467.0,2013,3,2013-07-24 17:00:00
V,Visa Inc.,38043467.0,2013,2,2013-05-01 17:00:00
V,Visa Inc.,38043467.0,2013,1,2013-02-06 17:00:00
V,Visa Inc.,38043467.0,2014,4,2014-10-29 17:00:00
V,Visa Inc.,38043467.0,2014,3,2014-07-24 17:00:00
V,Visa Inc.,38043467.0,2014,2,2014-04-24 17:00:00
V,Visa Inc.,38043467.0,2014,1,2014-01-30 08:30:00
V,Visa Inc.,38043467.0,2015,4,2015-11-02 08:00:00
V,Visa Inc.,38043467.0,2015,3,2015-07-24 17:00:00
V,Visa Inc.,38043467.0,2015,2,2015-04-30 17:00:00
V,Visa Inc.,38043467.0,2015,1,2015-01-29 17:00:00
V,Visa Inc.,38043467.0,2016,4,2016-10-24 17:00:00
V,Visa Inc.,38043467.0,2016,3,2016-07-21 17:00:00
V,Visa Inc.,38043467.0,2016,2,2016-04-21 17:00:00
V,Visa Inc.,38043467.0,2016,1,2016-01-28 17:00:00
V,Visa Inc.,38043467.0,2017,4,2017-10-25 08:00:00
V,Visa Inc.,38043467.0,2017,3,2017-07-20 17:00:00
V,Visa Inc.,38043467.0,2017,2,2017-04-20 17:00:00
V,Visa Inc.,38043467.0,2017,1,2017-02-02 17:00:00
V,Visa Inc.,38043467.0,2018,4,2018-10-24 17:00:00
V,Visa Inc.,38043467.0,2018,3,2018-07-25 17:00:00
V,Visa Inc.,38043467.0,2018,2,2018-04-25 17:00:00
V,Visa Inc.,38043467.0,2018,1,2018-02-02 17:00:00
V,Visa Inc.,38043467.0,2019,4,2019-10-25 17:00:00
V,Visa Inc.,38043467.0,2019,3,2019-07-23 17:00:00
V,Visa Inc.,38043467.0,2019,2,2019-04-24 17:00:00
V,Visa Inc.,38043467.0,2019,1,2019-01-30 17:00:00
VLO,Valero Energy Corporation,311679.0,2009,4,2010-01-27 11:00:00
VLO,Valero Energy Corporation,311679.0,2009,3,2009-10-27 11:00:00
VLO,Valero Energy Corporation,311679.0,2009,2,2009-07-28 11:00:00
VLO,Valero Energy Corporation,311679.0,2009,1,2009-04-28 18:45:00
VLO,Valero Energy Corporation,311679.0,2010,4,2011-01-26 11:00:00
VLO,Valero Energy Corporation,311679.0,2010,3,2010-10-26 11:00:00
VLO,Valero Energy Corporation,311679.0,2010,2,2010-07-27 11:00:00
VLO,Valero Energy Corporation,311679.0,2010,1,2010-04-27 11:00:00
VLO,Valero Energy Corporation,311679.0,2011,4,2012-01-31 10:00:00
VLO,Valero Energy Corporation,311679.0,2011,3,2011-11-01 11:00:00
VLO,Valero Energy Corporation,311679.0,2011,2,2011-07-26 11:00:00
VLO,Valero Energy Corporation,311679.0,2011,1,2011-04-26 11:00:00
VLO,Valero Energy Corporation,311679.0,2012,4,2013-01-29 11:00:00
VLO,Valero Energy Corporation,311679.0,2012,3,2012-10-30 11:00:00
VLO,Valero Energy Corporation,311679.0,2012,2,2012-07-31 11:00:00
VLO,Valero Energy Corporation,311679.0,2012,1,2012-05-01 11:00:00
VLO,Valero Energy Corporation,311679.0,2013,4,2014-01-29 11:00:00
VLO,Valero Energy Corporation,311679.0,2013,3,2013-10-29 11:00:00
VLO,Valero Energy Corporation,311679.0,2013,2,2013-07-23 11:00:00
VLO,Valero Energy Corporation,311679.0,2013,1,2013-04-30 11:00:00
VLO,Valero Energy Corporation,311679.0,2014,4,2015-01-29 08:30:00
VLO,Valero Energy Corporation,311679.0,2014,3,2014-11-04 11:00:00
VLO,Valero Energy Corporation,311679.0,2014,2,2014-07-31 10:00:00
VLO,Valero Energy Corporation,311679.0,2014,1,2014-04-29 11:00:00
VLO,Valero Energy Corporation,311679.0,2015,4,2016-01-28 11:00:00
VLO,Valero Energy Corporation,311679.0,2015,3,2015-10-28 11:00:00
VLO,Valero Energy Corporation,311679.0,2015,2,2015-07-30 11:00:00
VLO,Valero Energy Corporation,311679.0,2015,1,2015-04-28 11:00:00
VLO,Valero Energy Corporation,311679.0,2016,4,2017-01-31 10:00:00
VLO,Valero Energy Corporation,311679.0,2016,3,2016-10-25 11:00:00
VLO,Valero Energy Corporation,311679.0,2016,2,2016-07-26 11:00:00
VLO,Valero Energy Corporation,311679.0,2016,1,2016-05-03 11:00:00
VLO,Valero Energy Corporation,311679.0,2017,4,2018-02-01 10:00:00
VLO,Valero Energy Corporation,311679.0,2017,3,2017-10-26 10:00:00
VLO,Valero Energy Corporation,311679.0,2017,2,2017-07-27 10:00:00
VLO,Valero Energy Corporation,311679.0,2017,1,2017-04-26 10:00:00
VLO,Valero Energy Corporation,311679.0,2019,4,2020-01-30 10:00:00
VLO,Valero Energy Corporation,311679.0,2019,3,2019-10-24 10:00:00
VLO,Valero Energy Corporation,311679.0,2019,2,2019-07-25 10:00:00
VLO,Valero Energy Corporation,311679.0,2019,1,2019-04-25 10:00:00
VLO,Valero Energy Corporation,311679.0,2018,4,2019-01-31 10:00:00
VLO,Valero Energy Corporation,311679.0,2018,3,2018-10-25 10:00:00
VLO,Valero Energy Corporation,311679.0,2018,2,2018-07-26 10:00:00
VLO,Valero Energy Corporation,311679.0,2018,1,2018-04-26 10:00:00
VMC,Vulcan Materials Company,312769.0,2009,4,2010-02-09 11:00:00
VMC,Vulcan Materials Company,312769.0,2009,3,2009-11-03 17:00:00
VMC,Vulcan Materials Company,312769.0,2009,2,2009-08-04 17:00:00
VMC,Vulcan Materials Company,312769.0,2009,1,2009-05-06 10:00:00
VMC,Vulcan Materials Company,312769.0,2010,4,2011-02-03 11:00:00
VMC,Vulcan Materials Company,312769.0,2010,3,2010-11-02 11:00:00
VMC,Vulcan Materials Company,312769.0,2010,2,2010-08-03 10:00:00
VMC,Vulcan Materials Company,312769.0,2010,1,2010-05-04 10:00:00
VMC,Vulcan Materials Company,312769.0,2011,4,2012-02-16 11:00:00
VMC,Vulcan Materials Company,312769.0,2011,3,2011-11-03 11:00:00
VMC,Vulcan Materials Company,312769.0,2011,2,2011-08-03 11:00:00
VMC,Vulcan Materials Company,312769.0,2011,1,2011-05-05 10:00:00
VMC,Vulcan Materials Company,312769.0,2012,4,2013-03-07 11:00:00
VMC,Vulcan Materials Company,312769.0,2012,3,2012-11-08 11:00:00
VMC,Vulcan Materials Company,312769.0,2012,2,2012-07-26 11:00:00
VMC,Vulcan Materials Company,312769.0,2012,1,2012-04-26 11:00:00
VMC,Vulcan Materials Company,312769.0,2013,4,2014-03-06 11:00:00
VMC,Vulcan Materials Company,312769.0,2013,3,2013-11-04 11:00:00
VMC,Vulcan Materials Company,312769.0,2013,2,2013-08-01 10:00:00
VMC,Vulcan Materials Company,312769.0,2013,1,2013-05-02 11:00:00
VMC,Vulcan Materials Company,312769.0,2014,4,2015-02-05 11:00:00
VMC,Vulcan Materials Company,312769.0,2014,3,2014-11-04 11:00:00
VMC,Vulcan Materials Company,312769.0,2014,2,2014-08-07 11:00:00
VMC,Vulcan Materials Company,312769.0,2014,1,2014-05-06 11:00:00
VMC,Vulcan Materials Company,312769.0,2015,4,2016-02-04 11:00:00
VMC,Vulcan Materials Company,312769.0,2015,3,2015-11-03 12:00:00
VMC,Vulcan Materials Company,312769.0,2015,2,2015-08-05 11:00:00
VMC,Vulcan Materials Company,312769.0,2015,1,2015-05-05 10:00:00
VMC,Vulcan Materials Company,312769.0,2016,4,2017-02-07 11:00:00
VMC,Vulcan Materials Company,312769.0,2016,3,2016-11-02 10:00:00
VMC,Vulcan Materials Company,312769.0,2016,2,2016-08-01 11:00:00
VMC,Vulcan Materials Company,312769.0,2016,1,2016-05-03 11:00:00
VMC,Vulcan Materials Company,312769.0,2017,4,2018-03-01 11:00:00
VMC,Vulcan Materials Company,312769.0,2017,3,2017-11-02 10:00:00
VMC,Vulcan Materials Company,312769.0,2017,2,2017-08-02 11:00:00
VMC,Vulcan Materials Company,312769.0,2017,1,2017-05-07 10:00:00
VMC,Vulcan Materials Company,312769.0,2018,4,2019-02-15 11:00:00
VMC,Vulcan Materials Company,312769.0,2018,3,2018-10-30 11:00:00
VMC,Vulcan Materials Company,312769.0,2018,2,2018-07-31 11:00:00
VMC,Vulcan Materials Company,312769.0,2018,1,2018-05-03 10:00:00
VMC,Vulcan Materials Company,312769.0,2019,4,2020-02-18 11:00:00
VMC,Vulcan Materials Company,312769.0,2019,3,2019-11-08 11:00:00
VMC,Vulcan Materials Company,312769.0,2019,2,2019-07-25 11:00:00
VMC,Vulcan Materials Company,312769.0,2019,1,2019-05-03 11:00:00
VRSK,"Verisk Analytics, Inc.",1027055.0,2015,4,2016-02-24 08:30:00
VRSK,"Verisk Analytics, Inc.",1027055.0,2015,3,2015-10-28 08:30:00
VRSK,"Verisk Analytics, Inc.",1027055.0,2015,2,2015-07-29 08:30:00
VRSK,"Verisk Analytics, Inc.",1027055.0,2015,1,2015-04-29 08:30:00
VRSK,"Verisk Analytics, Inc.",1027055.0,2016,4,2017-02-22 08:30:00
VRSK,"Verisk Analytics, Inc.",1027055.0,2016,3,2016-11-02 08:30:00
VRSK,"Verisk Analytics, Inc.",1027055.0,2016,2,2016-08-03 08:30:00
VRSK,"Verisk Analytics, Inc.",1027055.0,2016,1,2016-05-05 08:30:00
VRSK,"Verisk Analytics, Inc.",1027055.0,2017,4,2018-02-21 08:30:00
VRSK,"Verisk Analytics, Inc.",1027055.0,2017,3,2017-11-01 08:30:00
VRSK,"Verisk Analytics, Inc.",1027055.0,2017,2,2017-08-03 08:30:00
VRSK,"Verisk Analytics, Inc.",1027055.0,2017,1,2017-05-03 08:30:00
VRSK,"Verisk Analytics, Inc.",1027055.0,2018,4,2019-02-20 08:30:00
VRSK,"Verisk Analytics, Inc.",1027055.0,2018,3,2018-10-31 08:30:00
VRSK,"Verisk Analytics, Inc.",1027055.0,2018,2,2018-08-01 08:30:00
