"PAREDINT","BOOKSHOME","READ_AVG"
12,6,486.5468
12,2,412.8843
12,2,507.1159
16,4,482.3615
16,4,449.979
16,4,594.8981
16,2,362.4126
12,2,261.0004
16,2,511.7091
16,3,626.6144
12,4,430.4101
NA,NA,444.2127
16,4,422.8611
12,1,663.7011
16,4,637.9857
16,4,658.2334
12,6,496.9823
12,4,476.1406
16,4,663.581
16,4,552.5401
16,2,545.5698
16,3,464.7584
16,NA,543.2334
12,1,227.2682
16,NA,487.9817
16,6,507.0538
12,7,523.5941
16,4,583.0405
16,4,596.7242
12,2,479.8778
12,4,456.5916
9,2,339.307
12,1,351.1263
12,2,280.1986
16,6,485.0267
12,2,417.2338
16,4,440.9359
16,2,501.657
16,6,484.1037
16,1,302.5857
16,NA,547.7426
12,2,466.2305
16,6,761.8116
16,3,504.7341
16,2,439.1467
16,NA,560.2976
16,1,447.5837
12,4,519.7314
12,3,539.4291
16,6,743.6168
16,3,586.8965
16,7,648.8413
12,4,496.7169
16,1,343.729
16,4,631.5107
14.5,2,434.4229
16,NA,524.3036
16,1,283.6592
16,NA,623.6611
16,2,405.4311
16,7,527.8772
12,3,526.4985
16,6,481.8255
16,4,603.1157
12,3,365.6075
NA,NA,521.8584
16,4,610.6114
12,4,578.0855
14.5,2,428.4289
12,1,478.3457
16,3,529.2442
16,4,664.2358
12,4,438.6292
12,1,444.1109
16,4,479.4597
16,3,445.4045
9,2,356.8311
12,7,501.1689
16,4,384.5658
16,3,386.2325
12,2,510.262
12,4,607.5023
12,4,425.394
16,4,545.1791
12,3,432.7238
16,7,454.4842
14.5,4,672.048
16,4,517.8406
14.5,3,379.9381
16,2,403.241
16,4,550.0855
16,4,539.4209
12,4,508.6223
12,2,593.5132
16,3,584.6809
16,3,466.8803
12,3,352.7881
14.5,6,538.2765
16,4,654.36
12,3,505.5272
16,NA,713.6605
16,3,519.2123
6,1,601.961
12,2,577.018
12,4,375.0096
16,2,434.7798
12,3,481.6298
9,2,470.0735
12,3,553.705
NA,2,494.9854
16,6,616.8331
16,4,798.1836
12,1,486.9979
14.5,6,605.0538
16,NA,562.4419
16,4,499.7753
16,4,590.1219
16,NA,675.84
12,4,548.8664
16,2,312.9821
12,3,594.7456
16,4,286.4377
16,4,427.7447
16,4,494.3951
12,4,538.2326
16,6,438.1182
16,3,488.7961
16,2,447.9827
12,7,636.6041
16,2,517.403
16,2,443.597
NA,NA,401.8421
16,3,634.2171
16,3,407.784
12,4,449.7039
16,3,460.6505
9,3,287.593
16,2,385.8634
12,2,407.4324
16,1,275.7787
16,4,443.7746
12,2,493.5486
16,3,455.5963
16,2,476.0158
12,NA,615.3848
12,4,686.3702
16,6,636.4564
9,3,407.9444
16,NA,378.2813
16,6,526.9804
16,6,418.9872
16,1,553.612
12,3,488.3937
NA,NA,399.9232
16,4,550.5964
14.5,4,531.8986
16,7,395.9481
16,2,367.4853
16,2,351.11
16,6,496.6319
16,4,506.6521
16,2,270.4383
16,2,564.1473
9,2,479.1574
16,1,286.4915
12,1,422.8911
16,4,653.532
12,2,469.6421
3,3,492.9854
12,4,430.8742
12,3,529.7181
16,4,495.7663
16,7,481.2438
9,2,433.1063
16,4,500.2339
12,6,551.8477
16,7,732.7545
16,6,536.6888
16,2,554.174
16,2,347.3596
12,3,509.7238
16,3,544.8414
9,4,504.221
16,1,328.163
12,1,468.4572
14.5,4,501.8665
16,6,590.4585
16,2,646.4562
12,4,628.6589
16,4,326.8177
16,1,590.1156
16,NA,546.8341
9,3,454.5144
12,4,439.4504
3,2,462.198
12,NA,571.8774
12,3,528.2326
12,2,550.2701
16,4,585.164
16,2,325.0161
16,2,364.1336
12,1,346.561
16,1,321.8505
16,2,452.3497
16,6,645.7076
16,4,770.6798
16,4,461.1208
16,2,596.9455
12,3,335.4943
16,3,440.6643
16,2,489.0186
16,7,586.4586
16,3,463.1376
16,NA,548.3689
